"id";"Startup";"Sector";"Business_Model";"Employee_count";"Employment_taxes";"Turnover";"Year_Founded";"Website"
413;"TEXTA OU";"Communication";"B2B, B2G";11;"  19.6K";"  58K";2016;"www.texta.ee"
414;"SPEAKLY";"EdTech";"B2B, B2C";17;"  19.3K";"  143.9K";2018;"https://www.speakly.me"
415;"Lokimo";"TravelTech";"B2B2C";3;"  19.3K";"  69.7K";2017;"www.lokimo.ee"
416;"Yanu";"Consumer";"B2B, B2C";5;"  19.2K";"  13.4K";2018;"https://yanu.ai"
419;"Saunum";"Consumer";"B2C";2;"  19.2K";"  31.4K";2014;"www.saunum.com"
422;"eID Easy";"CyberTech";"B2B,";5;"  19.1K";"  19K";2016;"https://eideasy.com"
424;"Investly";"FinTech";"B2B";5;"  19.1K";"  59.3K";2014;"https://investly.co"
425;"Aeon Must Die! by";"Gaming";"B2B, B2C,";10;"  18.9K";"  519";2016;"http://limestone-games.com"
427;"YuMuuv";"HealthTech, Life";"B2B,";5;"  18.9K";"  45.2K";2019;"https://yumuuv.com"
430;"Relancer";"Business";"B2B";6;"  18.7K";"  16.6K";2020;"https://relancer.com"
436;"Marduk Technologies";"SpaceTech";"B2B, B2G";8;"  18.6K";"  26K";2016;"www.marduk.ee"
437;"Dexatel";"Communication";"B2B,";3;"  18.1K";"  6.6M";2015;"https://dexatel.com/"
439;"shoproller";"AdTech &";"-";5;"  17.8K";"  66.5K";2012;"http://www.shoproller.ee/"
441;"NEURISIUM";"Advanced";"B2B";6;"  17.6K";"  93K";2017;"www.neurisium.com"
444;"Vegvisir";"Advanced";"B2B, B2G";1;"  17.5K";"  65.9K";2021;"https://vegvisir.ee"
447;"Synbase";"HealthTech, Life";"B2B, B2G";9;"  17.1K";"  181.5K";2016;"https://synbase.eu/"
450;"Gelatex";"Advanced";"B2B";5;"  17K";"  27.8K";2016;"www.gelatex.com"
453;"Omniwire Estonia";"FinTech";"B2B2C";9;"  16.9K";"-";2020;"omniwire.com"
454;"Worksup";"AdTech &";"B2B, B2G";5;"  16.8K";"  53K";2018;"https://www.worksup.com/"
456;"hi.com";"FinTech";"B2B, B2C,";6;"  16.6K";"  830.1K";2020;"hi.com"
458;"Erplybooks";"FinTech";"-";6;"  16.5K";"  109K";2011;"https://www.erplybooks.com/"
459;"Triumf Health";"HealthTech, Life";"B2B";5;"  16.5K";"  11.1K";2018;"http://triumf.health/"
463;"Salto X";"FinTech";"B2B2C";4;"  16.5K";"  60.3K";2021;"www.saltox.co"
464;"CostPocket";"FinTech";"B2B";3;"  16.5K";"  101.4K";2016;"https://www.costpocket.com"
465;"Storadera";"Communication";"B2B";5;"  16.4K";"  6.6K";2019;"storadera.com"
466;"Salto";"Communication";"C2C";1;"  16K";"  12K";2017;"https://salto.co/"
467;"Bladestorm";"Gaming";"B2C";2;"  16K";"  350.3K";2020;"bladestorm.org"
468;"Reverse Resources";"CleanTech";"B2B";3;"  16K";"  15.2K";2014;"http://www.reverseresources.net"
469;"PDF Generator API";"Business";"B2B";2;"  15.4K";"  218.7K";2012;"https://pdfgeneratorapi.com/"
471;"Autlo OU";"Transportation";"B2B2C";7;"  15.2K";"  109K";2013;"www.autlo.com"
473;"Waybiller";"Transportation";"B2B, B2G";5;"  15.1K";"  29.3K";2017;"https://waybiller.com"
475;"Ultra";"Gaming";"B2C";7;"  14.9K";"  2M";2018;"www.ultra.io"
476;"Ampher Technologies";"CleanTech";"B2B2C";7;"  14.9K";"  2.8K";2018;"www.amphertech.com"
477;"Vespia";"CyberTech";"B2B";4;"  14.9K";"  12.8K";2020;"https://vespia.io/"
478;"Rephop";"FinTech";"B2B";3;"  14.6K";"  54.9K";2013;"https://www.rephop.com/"
479;"Wert";"FinTech";"B2B,";7;"  14.3K";"-";2020;"wert.io"
