,id,Startup,Sector,Business_Model,Employee_count,Employment_taxes,Turnover,Year_Founded,Website
106,213,Fyma OU,PropTech &,"B2B, B2G",10,"53,000.00","10,600.00",2017,www.fyma.ai
107,215,UpSteam,CleanTech,"B2B, B2C",12,"51,300.00","155,500.00",2017,https://www.upsteam.ee/eng.html
108,216,Spaceit,SpaceTech,"B2B,",7,"51,100.00","91,400.00",2015,https://www.spaceit.eu/
109,218,Sentinel,CyberTech,"B2B, B2G",12,"50,700.00","522,500.00",2018,https://thesentinel.ai
110,219,Rendin,PropTech &,"B2C,",14,"50,300.00","8,600.00",2019,www.rendin.co
111,223,Digital Sputnik,AdTech &,"B2B, B2C",8,"48,900.00","205,000.00",2014,www.digitalsputnik.com
112,225,Clickwork Games,Gaming,-,11,"48,300.00","437,100.00",2019,https://clickworkgames.com/
113,226,Fintech-Market,FinTech,"B2B,",11,"47,700.00","215,700.00",2018,https://www.fintech-market.com
114,230,BASIS ID,CyberTech,"B2B, B2C",13,"46,700.00","4,500.00",2016,https://basisid.com
115,231,MotherLink,AdTech &,B2B,13,"46,600.00","725,100.00",2017,https://motherlink.io
116,233,Clanbeat,EdTech,"B2B, B2G",8,"45,200.00","4,000.00",2018,clanbeat.com
117,234,KappaZeta,SpaceTech,"B2B, B2G",16,"44,900.00","158,700.00",2015,www.kappazeta.ee
118,235,LightCode Photonics,Advanced,B2B,17,"43,800.00",,2020,www.lightcodephotonics.com
119,238,UBIK Solutions,CleanTech,"B2B, B2C,",1,"43,800.00","28,500.00",2011,www.ubiksolutions.eu
120,240,Overstep by Gamecan,Gaming,"B2B, B2C",20,"42,900.00","166,500.00",2015,www.overstepgame.com
121,241,Respiray,"HealthTech, Life","B2B, B2C",13,"42,600.00","76,600.00",2020,www.respiray.com
122,244,Speys,Transportation,B2B,7,"42,500.00","509,900.00",2016,https://www.speys.com/
123,246,Yaga,Consumer,C2C,9,"42,200.00","206,800.00",2017,yaga.co.za
124,249,FoodDocs,AgTech &,B2B,14,"41,800.00","125,100.00",2017,www.fooddocs.com
125,251,Medihub,"HealthTech, Life",B2B,21,"40,500.00",,2015,https://medihub.me/en
126,254,Haut.AI,"HealthTech, Life","B2B,",5,"40,100.00","188,300.00",2018,https://haut.ai/
127,257,Bankish,FinTech,B2B,7,"39,700.00","116,600.00",2017,www.bankish.eu
128,258,ParcelSea,Transportation,"B2B, B2C,",7,"39,200.00","52,600.00",2020,https://parcelsea.com/en
129,260,Brightspark,Business,B2B,9,"38,600.00","37,900.00",2011,https://lexi.market
