,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
184,Nevercode,Business,B2B,12,? 64.4K,? 42.9K,2015,https://codemagic.io
185,,software & HR,,,,,,
186,GScan,Advanced,B2G,18,? 63.1K,? 34K,2018,https://gscan.eu
187,,Manufacturing,,,,,,
188,,& Industry,,,,,,
189,Credy,FinTech,B2C,11,? 63K,? 1.7M,2015,www.credy.com
190,Outfunnel,AdTech &,B2B,10,? 62.6K,? 182.3K,2018,https://outfunnel.com
191,,Creative Tech,,,,,,
192,Uku,Consumer,"B2B,",16,? 62.3K,? 386.8K,2017,getuku.com
193,,products and,B2B2C,,,,,
194,,services,,,,,,
195,Wolf3D,Gaming,"B2B,",12,? 60.7K,? 88.7K,2014,www.wolf3d.io
196,,,B2B2C,,,,,
197,Ignium,FinTech,"B2B,",9,? 60.3K,? 12.7K,2019,www.ignium.io
198,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
199,,,model,count 1Q,taxes 1Q,1Q,founded,
200,Bercman Technologies,CleanTech,"B2B, B2G",17,? 60K,? 86.7K,2016,www.bercman.com
201,Warren,Communication,"B2B,",10,? 59.2K,? 110.4K,2012,https://warren.io
202,,,B2B2C,,,,,
203,HUUM,Consumer,-,27,? 59K,? 1.6M,2013,http://huum.eu/
204,,products and,,,,,,
205,,services,,,,,,
206,Vok Bikes,Transportation,"B2B,",23,? 56.1K,? 98K,2019,https://www.vokbikes.com/
207,,& Logistics,B2B2C,,,,,
208,Mercury Cash,FinTech,B2B2C,1,? 55.2K,-,2019,https://www.mercury.cash/
209,Paywerk,FinTech,"B2B, B2C,",7,? 55.2K,? 69.8K,2021,https://paywerk.co
210,,,B2B2C,,,,,
211,Teamscope,Business,B2B,6,? 53.9K,? 61.3K,2015,https://teamscope.io
212,,software & HR,,,,,,
213,Fyma OU,PropTech &,"B2B, B2G",10,? 53K,? 10.6K,2017,www.fyma.ai
214,,Construction,,,,,,
215,UpSteam,CleanTech,"B2B, B2C",12,? 51.3K,? 155.5K,2017,https://www.upsteam.ee/eng.html
216,Spaceit,SpaceTech,"B2B,",7,? 51.1K,? 91.4K,2015,https://www.spaceit.eu/
217,,,B2B2C,,,,,
218,Sentinel,CyberTech,"B2B, B2G",12,? 50.7K,? 522.5K,2018,https://thesentinel.ai
219,Rendin,PropTech &,"B2C,",14,? 50.3K,? 8.6K,2019,www.rendin.co
220,,Construction,B2B2C,,,,,
221,Laava Tech (previously,AgTech &,"B2B, B2C,",12,? 50K,? 6.2K,2017,laavatech.com
222,ArtiSun),FoodTech,B2B2C,,,,,
223,Digital Sputnik,AdTech &,"B2B, B2C",8,? 48.9K,? 205K,2014,www.digitalsputnik.com
224,,Creative Tech,,,,,,
225,Clickwork Games,Gaming,-,11,? 48.3K,? 437.1K,2019,https://clickworkgames.com/
226,Fintech-Market,FinTech,"B2B,",11,? 47.7K,? 215.7K,2018,https://www.fintech-market.com
227,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
228,,,model,count 1Q,taxes 1Q,1Q,founded,
229,,,B2B2C,,,,,
230,BASIS ID,CyberTech,"B2B, B2C",13,? 46.7K,? 4.5K,2016,https://basisid.com
231,MotherLink,AdTech &,B2B,13,? 46.6K,? 725.1K,2017,https://motherlink.io
232,,Creative Tech,,,,,,
233,Clanbeat,EdTech,"B2B, B2G",8,? 45.2K,? 4K,2018,clanbeat.com
234,KappaZeta,SpaceTech,"B2B, B2G",16,? 44.9K,? 158.7K,2015,www.kappazeta.ee
235,LightCode Photonics,Advanced,B2B,17,? 43.8K,? 869,2020,www.lightcodephotonics.com
236,,Manufacturing,,,,,,
237,,& Industry,,,,,,
238,UBIK Solutions,CleanTech,"B2B, B2C,",1,? 43.8K,? 28.5K,2011,www.ubiksolutions.eu
239,,,B2B2C,,,,,
240,Overstep by Gamecan,Gaming,"B2B, B2C",20,? 42.9K,? 166.5K,2015,www.overstepgame.com
241,Respiray,"HealthTech, Life","B2B, B2C",13,? 42.6K,? 76.6K,2020,www.respiray.com
242,,sciences &,,,,,,
243,,Wellness,,,,,,
244,Speys,Transportation,B2B,7,? 42.5K,? 509.9K,2016,https://www.speys.com/
245,,& Logistics,,,,,,
246,Yaga,Consumer,C2C,9,? 42.2K,? 206.8K,2017,yaga.co.za
247,,products and,,,,,,
248,,services,,,,,,
249,FoodDocs,AgTech &,B2B,14,? 41.8K,? 125.1K,2017,www.fooddocs.com
250,,FoodTech,,,,,,
251,Medihub,"HealthTech, Life",B2B,21,? 40.5K,? 783,2015,https://medihub.me/en
252,,sciences &,,,,,,
253,,Wellness,,,,,,
254,Haut.AI,"HealthTech, Life","B2B,",5,? 40.1K,? 188.3K,2018,https://haut.ai/
255,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
256,,,model,count 1Q,taxes 1Q,1Q,founded,
257,Bankish,FinTech,B2B,7,? 39.7K,? 116.6K,2017,www.bankish.eu
258,ParcelSea,Transportation,"B2B, B2C,",7,? 39.2K,? 52.6K,2020,https://parcelsea.com/en
259,,& Logistics,B2B2C,,,,,
260,Brightspark,Business,B2B,9,? 38.6K,? 37.9K,2011,https://lexi.market
261,,software & HR,,,,,,
262,Solarstone,CleanTech,"B2B, B2C,",22,? 38.3K,? 466.5K,2015,https://solarstone.com
263,,,B2B2C,,,,,
264,Eurostep Digital,FinTech,B2B,6,? 38.2K,? 7.8K,2017,www.eurostepdigital.com
265,VIVITA International OU,EdTech,B2C,10,? 38K,? 6K,2018,www.vivita.co
266,Advendor,AdTech &,-,10,? 37.8K,? 530.3K,2014,https://advendor.net/
267,,Creative Tech,,,,,,
268,Find Fashion,AdTech &,B2B,5,? 37.5K,? 58K,2019,find.fashion
269,,Creative Tech,,,,,,
270,Woola,CleanTech,B2B,8,? 37.3K,? 26.2K,2020,woola.xyz
271,Avokaado,Business,"B2B, B2C",9,? 36.5K,? 144.6K,2015,www.avokaado.com
272,,software & HR,,,,,,
273,Nobe Cars,Advanced,"B2B, B2G,",8,? 35.8K,? 32.9K,2017,www.mynobe.com
274,,Manufacturing,C2C,,,,,
275,,& Industry,,,,,,
276,voog,Business,-,8,? 34.9K,? 164K,2011,https://www.voog.com/en
277,,software & HR,,,,,,
278,Timbeter,Advanced,-,14,? 34.9K,? 201.1K,2013,http://www.timbeter.com/
279,,Manufacturing,,,,,,
280,,& Industry,,,,,,
281,Mekl,Business,B2B,6,? 34.8K,? 331.5K,2019,https://www.mekl.io/
282,,software & HR,,,,,,
283,Bidrento,PropTech &,B2B,9,? 34.2K,? 23.5K,2019,https://bidrento.com/
284,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
285,,,model,count 1Q,taxes 1Q,1Q,founded,
286,Devolon,FinTech,"B2B, B2C",8,? 34.1K,? 377.3K,2014,-
287,HIGH MOBILITY,Transportation,B2B2C,6,? 33.6K,? 110.7K,2013,https://high-mobility.com/
288,,& Logistics,,,,,,
289,Degritter,Consumer,B2B2C,13,? 33.2K,? 808.3K,2015,https://degritter.com
290,,products and,,,,,,
291,,services,,,,,,
292,99math,EdTech,"B2C,",10,? 33.1K,-,2019,www.99math.com
293,,,B2B2C,,,,,
294,FeelingStream,Business,"B2B,",22,? 33.1K,? 125.3K,2015,https://www.feelingstream.com
295,,software & HR,B2B2C,,,,,
296,Autobahn,Transportation,"B2B,",4,? 32.5K,? 96K,2013,www.autobahn.tech
297,,& Logistics,B2B2C,,,,,
298,Lightyear,FinTech,-,4,? 32.1K,-,2021,https://golightyear.com/
299,FleetGuru,Business,B2B,5,? 31.9K,? 12.9K,2020,fleetguru.app
300,,software & HR,,,,,,
301,Sentinel dVPN,CyberTech,B2C,6,? 31.8K,? 194.3K,2021,https://sentinel.co
302,Fairown,FinTech,B2B,9,? 31.6K,-,2018,www.fairown.com
303,Coursy.io,Business,"B2B, B2G,",5,? 31.3K,? 72K,2019,https://www.coursy.io/
304,,software & HR,B2B2C,,,,,
305,Scanbro,Advanced,B2B,6,? 30.7K,? 29K,2017,https://scanbro.com
306,,Manufacturing,,,,,,
307,,& Industry,,,,,,
308,Eziil Production,Advanced,B2B,10,? 30.4K,? 99.9K,2016,www.eziil.com
309,Intelligence OU,Manufacturing,,,,,,
310,,& Industry,,,,,,
311,PARSIQ,FinTech,"B2B, B2C",9,? 29.9K,? 838.4K,2018,https://www.parsiq.net/
312,So.Fa.Dog,AdTech &,"B2B,",5,? 29.4K,? 16.4K,2020,https://so.fa.dog
313,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
314,,,model,count 1Q,taxes 1Q,1Q,founded,
315,BLE Locking,Consumer,"B2B, B2C,",3,? 29K,? 72K,2018,www.blelocking.com
316,,products and,B2B2C,,,,,
317,,services,,,,,,
318,DriveX,Transportation,"B2B,",7,? 28.7K,? 72.4K,2019,www.drivex.ee
319,,& Logistics,B2B2C,,,,,
320,Fitlap OU,"HealthTech, Life",B2C,7,? 28.6K,? 225.3K,2015,https://fitlap.ee
321,,sciences &,,,,,,
322,,Wellness,,,,,,
323,upitech,"HealthTech, Life",-,-,? 28.4K,? 216.6K,2014,http://www.upitech.ee/
324,,sciences &,,,,,,
325,,Wellness,,,,,,
326,Mediamodifier,AdTech &,"B2B, B2C,",12,? 28.4K,? 117.9K,2019,https://mediamodifier.com
327,,Creative Tech,B2B2C,,,,,
328,DefSecIntel,CyberTech,"B2B, B2G",6,? 28.2K,? 348.8K,2018,www.defsecintel.com
329,Thinnect,Communication,B2B,16,? 28K,? 150.2K,2015,www.thinnect.com
330,Cachet,FinTech,B2B2C,5,? 27.4K,? 138.3K,2018,www.cachet.me
331,Gridio,CleanTech,"B2C,",6,? 27.3K,? 21.6K,2018,https://gridio.io/en
332,,,B2B2C,,,,,
333,Rexplorer,CleanTech,"B2B, B2C",7,? 27.2K,? 45.6K,2020,https://www.rexplorer.ee/
334,ViisTek Media OU,AdTech &,"B2C,",7,? 27.2K,? 146.4K,2012,http://www.viistek.com/
335,,Creative Tech,B2B2C,,,,,
336,Antegenes,"HealthTech, Life","B2B, B2C,",10,? 27K,? 7.3K,2018,www.antegenes.com
337,,sciences &,B2B2C,,,,,
338,,Wellness,,,,,,
339,REBELROAM OU,CyberTech,"B2B,",7,? 27K,? 327.7K,2015,www.rebelroam.com
340,,,B2B2C,,,,,
341,EFENCO,CleanTech,B2B,7,? 27K,? 52.5K,2015,efenco.eu
342,Promoty,AdTech &,B2B,7,? 26.7K,? 270.9K,2017,https://www.promoty.io
343,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
344,,,model,count 1Q,taxes 1Q,1Q,founded,
345,,Creative Tech,,,,,,
346,Citybee,Transportation,B2C,12,? 26.6K,? 1.4M,2019,www.citybee.ee
347,,& Logistics,,,,,,
348,Modash,AdTech &,B2B,8,? 26K,? 290.5K,2018,https://www.modash.io/
349,,Creative Tech,,,,,,
350,IPDx,"HealthTech, Life","B2B, B2C",8,? 26K,? 67.8K,2017,www.ipdx.eu
351,,sciences &,,,,,,
352,,Wellness,,,,,,
353,ProBit Exchange,FinTech,"B2B, B2C",8,? 25.6K,-,2020,www.probit.com
354,Income,FinTech,"B2B, B2C",8,? 25.3K,? 125.6K,2020,www.getincome.com
355,Crowdestate,FinTech,"B2B, B2C",4,? 25.3K,? 333.3K,2019,www.crowdestate.eu
356,Moderan Solutions,PropTech &,B2B,6,? 24.7K,? 58.8K,2015,https://www.moderansolutions.com
357,,Construction,,,,,,
358,Liigu,TravelTech,B2C,11,? 24.7K,? 875.7K,2021,https://liigu.me
359,Airobot,CleanTech,"B2B, B2C",7,? 24.6K,? 239.3K,2013,www.airobot.ee
360,Companio (formerly Your,Business,B2B,8,? 24.4K,? 271.9K,2018,https://companio.co
361,Company In Estonia),software & HR,,,,,,
362,Superhands,CleanTech,"B2B, B2C,",12,? 24.2K,? 105.6K,2014,https://superhands.ee/en/
363,,,B2B2C,,,,,
364,Lydian,AdTech &,"B2B,",8,? 23.9K,? 65K,2018,getlydian.com
365,,Creative Tech,B2B2C,,,,,
366,Viseven,Business,-,5,? 23.6K,? 7.5M,2014,https://viseven.com
367,,software & HR,,,,,,
368,10Lines,Advanced,B2B,9,? 23.4K,? 7.3K,2019,www.10-lines.com
369,,Manufacturing,,,,,,
370,,& Industry,,,,,,
371,Mothership,FinTech,"B2B, B2C",2,? 23.2K,? 484,2017,https://mothership.cx
372,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
373,,,model,count 1Q,taxes 1Q,1Q,founded,
374,Hanse Digital Access,FinTech,B2B2C,5,? 23.1K,? 15.4K,2018,www.hansedigitalaccess.com
375,Elsavie,"HealthTech, Life","B2B, B2C",8,? 23K,? 82.7K,2020,www.elsavie.com
376,,sciences &,,,,,,
377,,Wellness,,,,,,
378,Machineric,Business,B2B,8,? 22.9K,? 14K,2020,https://machineric.com
379,,software & HR,,,,,,
380,Mikaels Lab,Business,-,4,? 22.3K,? 426.4K,2018,https://mikaels.com/
381,,software & HR,,,,,,
382,SoftComply,"HealthTech, Life",B2B,4,? 22.2K,? 155.9K,2016,https://softcomply.com/
383,,sciences &,,,,,,
384,,Wellness,,,,,,
385,RecruitLab,Business,"B2B, B2G",5,? 22.1K,? 42.7K,2020,https://recruitlab.co.uk
386,,software & HR,,,,,,
387,Kriptomat,FinTech,B2C,3,? 22.1K,? 555.5K,2018,https://kriptomat.io/
388,Envoice,FinTech,-,9,? 21.3K,? 98.2K,2015,https://envoice.eu/et/
389,Dermtest OU,"HealthTech, Life","B2B, B2G,",8,? 21.1K,? 31.7K,2013,www.dermtest.com
390,,sciences &,B2B2C,,,,,
391,,Wellness,,,,,,
392,Siffi,"HealthTech, Life","B2B,",7,? 21K,? 111.4K,2018,www.siffi.com
393,,sciences &,B2B2C,,,,,
394,,Wellness,,,,,,
395,Videolevels OU,Consumer,B2B,4,? 20.9K,? 139.9K,2016,www.videolevels.com
396,,products and,,,,,,
397,,services,,,,,,
398,LoQuiz,TravelTech,B2B,7,? 20.8K,? 108K,2011,loquiz.com
399,Patchstack,CyberTech,B2B,4,? 20.7K,? 72.2K,2017,https://www.patchstack.com/
400,Hygify,"HealthTech, Life","B2B,",8,? 20.7K,? 59.7K,2018,www.hygify.info
401,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
402,,,model,count 1Q,taxes 1Q,1Q,founded,
403,,Wellness,,,,,,
404,GuestJoy,TravelTech,"B2B,",6,? 20.7K,? 110K,2014,https://guestjoy.com/
405,,,B2B2C,,,,,
406,Gratitude Services,Consumer,"B2B, B2C",13,? 20.6K,? 17.8K,2019,https://gratitudeservices.com
407,,products and,,,,,,
408,,services,,,,,,
409,VideoCV OU,Business,B2B,7,? 20.3K,? 15.6K,2016,https://videocv.io/en
410,,software & HR,,,,,,
411,Parcelfellow,Transportation,B2B2C,12,? 19.7K,? 261.5K,2014,www.parcelfellows.com
412,,& Logistics,,,,,,
413,TEXTA OU,Communication,"B2B, B2G",11,? 19.6K,? 58K,2016,www.texta.ee
414,SPEAKLY,EdTech,"B2B, B2C",17,? 19.3K,? 143.9K,2018,https://www.speakly.me
415,Lokimo,TravelTech,B2B2C,3,? 19.3K,? 69.7K,2017,www.lokimo.ee
416,Yanu,Consumer,"B2B, B2C",5,? 19.2K,? 13.4K,2018,https://yanu.ai
417,,products and,,,,,,
418,,services,,,,,,
419,Saunum,Consumer,B2C,2,? 19.2K,? 31.4K,2014,www.saunum.com
420,,products and,,,,,,
421,,services,,,,,,
422,eID Easy,CyberTech,"B2B,",5,? 19.1K,? 19K,2016,https://eideasy.com
423,,,B2B2C,,,,,
424,Investly,FinTech,B2B,5,? 19.1K,? 59.3K,2014,https://investly.co
